user_id,status_id,created_at,screen_name,text,character,word_count,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
x86824492,x1276604203465494528,6/26/20 19:52,greengordon,"““Globally the wealthiest 10% are responsible for half of all emissions, the wealthiest 20% for 70% of emissions.” https://t.co/rG1LpsrIzd - #climatecrisis #climatechange #climatepoli",189,23,Twitter for Android,,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,x904408999,GeraldKutney,en,,,,,,,,,,,,,,,,x1276573359577403393,"““Globally the wealthiest 10% are responsible for half of all emissions, the wealthiest 20% for 70% of emissions.” https://t.co/rG1LpsrIzd - #climatecrisis #climatechange #climatepoli",6/26/20 17:49,Twitter Web App,21,15,x904408999,GeraldKutney,@GeraldKutney,39850,29002,92022,"Ottawa, Ontario",🇨🇦Politics of #climatecrisis; Fellow RCGS; Ph.D.; media commentator; author; creator of #climatebrawl,FALSE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/greengordon/status/1276604203465494528,Brian Gordon,"Victoria, Canada","The Way Home: Stop climate change, go alt-energy, and enjoy the good life.
http://www.briangordon.ca",http://www.briangordon.ca/,FALSE,100,67,12,3025,5696,11/1/09 23:10,FALSE,,,,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/698069960/PPP-logo-web_normal.jpg
x2843630307,x1276604204186890240,6/26/20 19:52,RealMediaGB,"The UK's newest political party, Beyond Politics @BespokePanic launched this week, by stealing food from Sainsburys &amp; ‘gift-aiding’ it to locals.

They have just one simple policy: handing power to the people through Citizens’ Assemblies. #ClimateCrisis
https://t.co/jLLnobgtBM https://t.co/zbcT19pxsC",311,36,Twitter Media Studio,140,,,,FALSE,FALSE,0,0,0,0,,,twitter.com/i/web/status/1…,https://t.co/pi1FnmTkjH,https://twitter.com/i/web/status/1276604204186890240,,,,,,,,,x1269911034820780038,BespokePanic,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/RealMediaGB/status/1276604204186890240,Real Media,"England, United Kingdom","A cooperative of independent journalists, dedicated to public interest journalism | Please help us continue our work: http://realmedia.press/donate",http://realmedia.press,FALSE,10669,1438,214,14990,5193,10/25/14 13:14,FALSE,,,,https://pbs.twimg.com/profile_banners/2843630307/1591296848,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1109102886708039686/k7Dd9r8Q_normal.jpg
x281216322,x1276604213695590401,6/26/20 19:52,KerryOrla,Do not tell me that a Green New Deal is “radical.” What’s radical is doing nothing to stop climate change while the Arctic is on fire. https://t.co/VWpJWqWTu2,164,27,Twitter Web App,,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,x29442313,SenSanders,en,,,,,,,,,,,,,,,,x1276491100266602499,Do not tell me that a Green New Deal is “radical.” What’s radical is doing nothing to stop climate change while the Arctic is on fire. https://t.co/VWpJWqWTu2,6/26/20 12:22,Twitter for iPhone,30792,7952,x29442313,SenSanders,Bernie Sanders,10004220,2341,21683,Vermont/DC,U.S. Senator Bernie Sanders of Vermont is the longest-serving independent in congressional history.,TRUE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/KerryOrla/status/1276604213695590401,Orla Jackson,London,"M&E geek, passionate about protecting human rights and ending #modernslavery. Works at @Freedom_Fund. All views my own.",,FALSE,117,277,11,198,13,4/12/11 21:31,FALSE,,,,https://pbs.twimg.com/profile_banners/281216322/1416952897,http://abs.twimg.com/images/themes/theme7/bg.gif,http://pbs.twimg.com/profile_images/524299033288769536/qlZzWCPs_normal.jpeg
x2724139709,x1276604225636761601,6/26/20 19:52,pbrennan1985,"From climate change to COVID, the celebration of ignorance is a central feature of Republican politics",102,16,Twitter for iPhone,,,,,TRUE,TRUE,0,0,0,0,,,,,,,,,,,,,,x2922928743,danpfeiffer,en,x1276528189335109633,"Despite the recommendations of the Capitol physician, GOP Rep. Louie Gohmert continues to walk around maskless on the floor and chit chat with members and aides while not maintaining a social distance.",6/26/20 14:50,Twitter for iPhone,6563,2578,x39155029,mkraju,Manu Raju,418051,4504,42545,The Capitol,"Senior Congressional Correspondent, @CNN. Roaming the Capitol halls, covering the Hill and politics. Die-hard Chicago sports fan. Wisconsin Badger for life.",TRUE,x1276531887314329600,"From climate change to COVID, the celebration of ignorance is a central feature of Republican politics",6/26/20 15:04,Twitter Web App,1509,291,x2922928743,danpfeiffer,Dan Pfeiffer,647447,3585,29323,,"Co-host of Pod Save America, Author of Un-Trumping America (out on 2/18/20) Former Senior Advisor to President Obama, Process Truster",TRUE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/pbrennan1985/status/1276604225636761601,Patrick Brennan,,,,FALSE,46,1211,0,50601,12432,7/25/14 13:27,FALSE,,,,,http://abs.twimg.com/images/themes/theme1/bg.png,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
x1092019831723962369,x1276604227515809794,6/26/20 19:52,BradleySean11,Retweet please 👇,19,3,Twitter for Android,,,,,TRUE,TRUE,0,0,0,0,,,,,,,,,,,,,,x568624483,Revolution_IRL,en,x1276588463446425605,"PROTEST TOMORROW 12PM NATIONAL CONVENTION CENTRE.

This is not the change people voted for. 

The Greens have now abandoned any project for radical change on climate, housing, health and economic justice.

#GreenParty #Taoiseach #LeoVaradkar #protest #fiannafail #FineGael https://t.co/Mn17A3Qs7R",6/26/20 18:49,Twitter Web App,130,48,x237487471,pb4p,People Before Profit,16108,1856,22607,Ireland,"A 32 county organisation that values international solidarity, economic equality & personal liberty. http://housing.pbp.ie http://pbp.ie http://manifesto.pbp.ie",TRUE,x1276603966009282560,Retweet please 👇,6/26/20 19:51,Twitter for Android,0,1,x568624483,Revolution_IRL,Revolution 57%🐊,13165,1808,86644,"Dublin City, Ireland",Donate to #FeedTheHeros,FALSE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/BradleySean11/status/1276604227515809794,Sean Bradley,"Wexford, Ireland","The Blight Of All Sport Related Bets.... Love Backing Losers.... Once A Cheltenham Top Tipster In The Local... How Times Have Changed. 

Sc: Seanbradleywex",,FALSE,223,948,0,4513,9169,2/3/19 11:19,FALSE,,,,https://pbs.twimg.com/profile_banners/1092019831723962369/1549395056,,http://pbs.twimg.com/profile_images/1092471151790620672/e5VrOYW__normal.jpg
x1259000458103775233,x1276604229054951424,6/26/20 19:52,sethyashverma,"Look after nature &amp; it will look after you.

Find out 6️⃣different ways that nature can defend us from #ClimateChange impacts including: droughts, wildfires, heatwaves, coastal flooding, landslides &amp; erosion, and desertification &amp; sandstorms.

#ForNature
https://t.co/sLINQYU0Sx",294,33,Twitter for Android,,,,,FALSE,TRUE,0,0,0,0,ClimateChange,,,,,,,,,,,,,x38146999,UNEP,en,,,,,,,,,,,,,,,,x1276092877739896832,"Look after nature &amp; it will look after you.

Find out 6️⃣different ways that nature can defend us from #ClimateChange impacts including: droughts, wildfires, heatwaves, coastal flooding, landslides &amp; erosion, and desertification &amp; sandstorms.

#ForNature
https://t.co/sLINQYU0Sx",6/25/20 10:00,Hootsuite Inc.,471,229,x38146999,UNEP,UN Environment Programme,1024962,2944,29017,"Nairobi, Kenya",Official account of the United Nations Environment Programme. 🌏🌍🌎 #ForNature,TRUE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/sethyashverma/status/1276604229054951424,Yash Verma,"New Delhi, India","𝓨𝓪𝓼𝓱 𝓥𝓮𝓻𝓶𝓪
• 𝙎𝙩𝙪𝙙𝙚𝙣𝙩 𝙖𝙩 𝙂𝙖𝙡𝙤𝙜𝙤𝙩𝙞𝙖 𝘾𝙤𝙡𝙡𝙚𝙜𝙚 👨‍🎓
• INDIAN
• 21 ᗰ𝓪ץ 𝐈s 𝕞𝕪 𝐝𝓪𝓨 🥞
• Hσɱҽ Tσɯɳ ναяαηαѕ
• ¢υяяєηт тσωη ∂єℓнι",,FALSE,16,60,0,6458,534,5/9/20 6:01,FALSE,,,,https://pbs.twimg.com/profile_banners/1259000458103775233/1589005514,,http://pbs.twimg.com/profile_images/1259058603048136704/guUAIUjs_normal.jpg
x791699892,x1276604230036598784,6/26/20 19:52,otherafrikan,@browserdotsys It wrought on us climate change and COVID 19,59,10,Twitter for Android,44,x1276596426894606337,x893847693709258752,browserdotsys,FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,x893847693709258752,browserdotsys,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/otherafrikan/status/1276604230036598784,Wazi,Kenya,"Visioner, Africanist, lover of nature. I critique the obvious",,FALSE,136,1668,0,4251,387,8/30/12 14:23,FALSE,,,,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1153636428364075008/EBEickxg_normal.jpg
x1240326312507645953,x1276604235405234176,6/26/20 19:52,NETRO_RW,"@SenatorTimScott Democrat Platform: 
   Trump bad
   Racism bad
   Sexism bad
   Police bad
   Climate change apocalyptic",121,15,Twitter Web App,104,x1276603271298248705,x217543151,SenatorTimScott,FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,x217543151,SenatorTimScott,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NETRO_RW/status/1276604235405234176,NETRO,,"#NE #2A #USA
#BringBackTheNBA

Data Science/Sports Analytics 
Sports Conditioning Trainer",,FALSE,350,830,0,2941,4740,3/18/20 17:17,FALSE,,,,https://pbs.twimg.com/profile_banners/1240326312507645953/1586809805,,http://pbs.twimg.com/profile_images/1265951902124179461/e9Lc0Rcv_normal.jpg
x1182771471954919424,x1276604241818324992,6/26/20 19:52,DavidMan828,"PROTEST TOMORROW 12PM NATIONAL CONVENTION CENTRE.

This is not the change people voted for. 

The Greens have now abandoned any project for radical change on climate, housing, health and economic justice.

#GreenParty #Taoiseach #LeoVaradkar #protest #fiannafail #FineGael https://t.co/Mn17A3Qs7R",296,36,Twitter for Android,,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,x237487471,pb4p,en,,,,,,,,,,,,,,,,x1276588463446425605,"PROTEST TOMORROW 12PM NATIONAL CONVENTION CENTRE.

This is not the change people voted for. 

The Greens have now abandoned any project for radical change on climate, housing, health and economic justice.

#GreenParty #Taoiseach #LeoVaradkar #protest #fiannafail #FineGael https://t.co/Mn17A3Qs7R",6/26/20 18:49,Twitter Web App,131,49,x237487471,pb4p,People Before Profit,16108,1856,22607,Ireland,"A 32 county organisation that values international solidarity, economic equality & personal liberty. http://housing.pbp.ie http://pbp.ie http://manifesto.pbp.ie",TRUE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/DavidMan828/status/1276604241818324992,Dáithí | David 🇮🇪,"Baile Átha Cliath, Éire","Ní cuimhin liom conas a fuair mé an bith seo nó cén fáth || Modhnóir Youtube Do @JJ_McCullough

Poblachtach ||  Sóisialach🌹",,FALSE,15,71,0,290,344,10/11/19 21:34,FALSE,,,,https://pbs.twimg.com/profile_banners/1182771471954919424/1591674352,,http://pbs.twimg.com/profile_images/1269092782603415553/vyFXmlT4_normal.jpg
x1343864858,x1276604243080773632,6/26/20 19:52,HaringeyLU,"Labour members will not stand for any weakening of our ambitions. With the Arctic on fire and unemployment soaring, Starmer's Labour must fight for party policy and a radical #GreenNewDeal, now.

https://t.co/jYrMPZpP24",219,31,Twitter for Android,,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,x1094561385223241728,LabGND,en,,,,,,,,,,,,,,,,x1276480677249245185,"Labour members will not stand for any weakening of our ambitions. With the Arctic on fire and unemployment soaring, Starmer's Labour must fight for party policy and a radical #GreenNewDeal, now.

https://t.co/jYrMPZpP24",6/26/20 11:41,Twitter Web App,174,83,x1094561385223241728,LabGND,Labour for a Green New Deal,16898,1206,5076,United Kingdom,The labour movement's grassroots campaign for a socialist Green New Deal. Join us 🌹,FALSE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/HaringeyLU/status/1276604243080773632,Haringey Left Unity,"Haringey, North London","For unity of the internationalist left to fight for social justice and against austerity, to build an alternative society. Member party of @europeanleft",https://www.facebook.com/HaringeyLeftUnity,FALSE,655,491,20,8240,68,4/11/13 8:29,FALSE,,,,https://pbs.twimg.com/profile_banners/1343864858/1593163220,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1268104221641134081/5Tpgt7cs_normal.jpg
