user_id,status_id,created_at,screen_name,text,character,word_count,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
x333780020,x1286722860363452416,7/24/20 18:00,comicfire,"After 4 centuries of slavery, Jim Crow, unpunished lynchings, mass incarceration, stop and frisk, the phony war on drugs and police killings of black men I would call the reaction subdued. https://t.co/5wY4xmfPKm",212,32,Twitter Web App,,,,,TRUE,TRUE,0,0,0,0,,,,,,,,,,,,,,x1280928564364349441,realStanVG,en,x1286272616630833154,"Attorney General William Barr calls the reaction to George Floyd's death ""extreme"" https://t.co/sLuCdZX7WJ https://t.co/o97O8D1ciO",7/23/20 12:11,SocialFlow,2196,1525,x13850422,CNNPolitics,CNN Politics,3641261,343,183175,"Washington, DC","Political news, campaign stories and Washington coverage from CNN Politics.",TRUE,x1286317343489110017,"After 4 centuries of slavery, Jim Crow, unpunished lynchings, mass incarceration, stop and frisk, the phony war on drugs and police killings of black men I would call the reaction subdued. https://t.co/5wY4xmfPKm",7/23/20 15:08,Twitter for iPhone,50105,13432,x1280928564364349441,realStanVG,Stan Van Gundy,60148,285,587,"Lake Mary, FL","Former NBA Head Coach for the Detroit Pistons, Orlando Magic and Miami Heat. Current NBA analyst for TNT and NBA TV.",FALSE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/comicfire/status/1286722860363452416,Bidou Kuzunoha vs True Crab Ending,,"Audio/Visual Editor, Screenwriter, Voice Actor, LPer/Streamer. He/Him. Greetings and Salutations!",,FALSE,1085,88,7,59251,22894,7/12/11 2:27,FALSE,,,,https://pbs.twimg.com/profile_banners/333780020/1423164921,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1135612517093453825/H5UUjw4O_normal.png
x30090206,x1286722860879413248,7/24/20 18:00,jaymses,"A terrifying court ruling here: A judge in Seattle has ordered that media outlets must turn over images and footage from the George Floyd protests on May 30, so that police can investigate possible crimes. 

https://t.co/Q7DJcXdLYR https://t.co/TN8P9TxMMO",255,37,Twitter Web App,,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,x178065733,ByMikeBaker,en,,,,,,,,,,,,,,,,x1286495590881193984,"A terrifying court ruling here: A judge in Seattle has ordered that media outlets must turn over images and footage from the George Floyd protests on May 30, so that police can investigate possible crimes. 

https://t.co/Q7DJcXdLYR https://t.co/TN8P9TxMMO",7/24/20 2:57,Twitter Web App,2923,2473,x178065733,ByMikeBaker,Mike Baker,46265,1451,9761,Washington/Oregon/Idaho/Alaska,"Correspondent for @nytimes, based in the Northwest. Tips welcome via DM or Signal: 646-394-3002",TRUE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/jaymses/status/1286722860879413248,Jaymes Hanna,"Washington, DC","Passionate ed equity champion. Former hi-techie and mgmt consultant. Looking for thought-provoking articles and ideas. 

All ideas (esp the bad ones) are my own",,FALSE,185,270,33,21126,1424,4/9/09 22:57,FALSE,,,,https://pbs.twimg.com/profile_banners/30090206/1354947845,http://abs.twimg.com/images/themes/theme14/bg.gif,http://pbs.twimg.com/profile_images/2777645743/54bbe15f38bd26cfe4261de202b09818_normal.jpeg
x1270142223196266497,x1286722861793763329,7/24/20 18:00,Mikey80479355,The Feds advance west on Main Street. More teargas and stun grenades are used. This is two blocks away from federal property. #PortlandMoms #blacklivesmatter     #protest #pdx #portland #oregon #blm #acab #PortlandProtest #PDXprotest #Feds #MOMTIFA #MomsAreHere #teargas https://t.co/Rg4MFd5uwQ,298,37,Twitter for iPhone,,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,x988642091675734017,hungrybowtie,en,,,,,,,,,,,,,,,,x1286594489566412802,The Feds advance west on Main Street. More teargas and stun grenades are used. This is two blocks away from federal property. #PortlandMoms #blacklivesmatter     #protest #pdx #portland #oregon #blm #acab #PortlandProtest #PDXprotest #Feds #MOMTIFA #MomsAreHere #teargas https://t.co/Rg4MFd5uwQ,7/24/20 9:30,Twitter for iPhone,223,173,x988642091675734017,hungrybowtie,Garrison Davis (Teargas Proof),23804,196,2363,"Portland, OR","Portland based journalist, vids in @abcnews @nbcnews @reuters @newshour, they/he Cashapp- $hungrybowtie PayPal https://www.paypal.me/garrisondavispdx",FALSE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/Mikey80479355/status/1286722861793763329,Mikey,,,,FALSE,2,62,0,19,290,6/8/20 23:54,FALSE,,,,,,http://pbs.twimg.com/profile_images/1270142898089140226/XvXLhriX_normal.jpg
x1270854708199075841,x1286722862682972160,7/24/20 18:00,MigchieldeJong,"BLM is walgelijk👇
https://t.co/iKCFbOM0xZ",44,3,Twitter for Android,,,,,FALSE,TRUE,0,0,0,0,,,dagblad010.nl/Algemeen/black…,https://t.co/iKCFbOM0xZ,https://dagblad010.nl/Algemeen/black-lives-matter-verft-herdenkingsmuur-weg,,,,,,,,,x940863581402402816,Meeuwissen_PVV,nl,,,,,,,,,,,,,,,,x1286692313788448768,"BLM is walgelijk👇
https://t.co/iKCFbOM0xZ",7/24/20 15:58,Twitter Web App,31,28,x940863581402402816,Meeuwissen_PVV,Maurice Meeuwissen,8538,1987,36661,"Rotterdam, Nederland",Fractievoorzitter PVV Rotterdam @gemeenteraad010 | volg ook 🎞️@PVVRVideo en @PVVRotterdam010,FALSE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/MigchieldeJong/status/1286722862682972160,Migchiel de Jong,"Leeuwarden, Nederland",,,FALSE,20,134,0,573,524,6/10/20 23:06,FALSE,,,,,,http://pbs.twimg.com/profile_images/1276620329339756544/kFKsVL9O_normal.jpg
x1264661369930100737,x1286722864004108289,7/24/20 18:00,jimarilee,A historian on why the largest Confederate monument in the nation must come down https://t.co/uAtcf8e1iI via @voxdotcom,119,17,Twitter Web App,,,,,FALSE,FALSE,0,0,0,0,,,vox.com/identities/202…,https://t.co/uAtcf8e1iI,https://www.vox.com/identities/2020/7/23/21334469/stone-mountain-confederate-monument-black-lives-matter?utm_campaign=vox&utm_content=entry&utm_medium=social&utm_source=twitter,,,,,,,,,x2347049341,voxdotcom,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/jimarilee/status/1286722864004108289,Jimari,,Not to be taken seriously or literally.,,FALSE,4,396,0,210,138,5/24/20 20:56,FALSE,,,,https://pbs.twimg.com/profile_banners/1264661369930100737/1590602330,,http://pbs.twimg.com/profile_images/1284451648899866624/mmrKuKh5_normal.jpg
x1173410817716310016,x1286722864758964225,7/24/20 18:00,NSamone2,@Money23Green is an actual fool. There are Black people in Canada. We experience racism and injustice as well. How stupidly ignorant for you to ask Why we put Black Lives Matter on the Raptors bus. STUPID!!!!!!!!!!,214,36,Twitter for iPhone,,,x116485600,Money23Green,FALSE,FALSE,0,0,0,0,,,twitter.com/i/web/status/1…,https://t.co/rJhRrs8jZh,https://twitter.com/i/web/status/1286722864758964225,,,,,,,,,x116485600,Money23Green,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NSamone2/status/1286722864758964225,Jodie Landon,YEG - YYZ,"Sagittarius.
I do a lot, but Food and Music are my first loves. 
Jamaican AF from the Screwface Capital🇨🇦🇯🇲
If Bijork and Jay-Z had a child
IG: NadineSamone",,FALSE,25,114,0,599,781,9/16/19 1:38,FALSE,,,,https://pbs.twimg.com/profile_banners/1173410817716310016/1573859088,,http://pbs.twimg.com/profile_images/1242532626507788288/LSiAVe8P_normal.jpg
x49356860,x1286722865358872586,7/24/20 18:00,killahdexx,"Don’t forget Rene, Rene is there too",38,7,Twitter for iPhone,,,,,TRUE,FALSE,0,0,0,0,,,,,,,,,,,,,,,,en,x1286705422087462913,Marcus Stroman and Yoenis Cespedes are among the Mets wearing Black Lives Matter shirts during warmups @STR0 @ynscspds https://t.co/sNitMLXBoD,7/24/20 16:50,SnapStream TV Search,417,57,x19556528,SNYtv,SNY,113188,403,95533,New York,The home of New York sports.,TRUE,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/killahdexx/status/1286722865358872586,Dex,Tokyo Japan,"I am the master of my fate, I am the captain of my soul.",,FALSE,541,459,2,47612,63734,6/21/09 16:35,FALSE,,,,https://pbs.twimg.com/profile_banners/49356860/1580492119,http://abs.twimg.com/images/themes/theme9/bg.gif,http://pbs.twimg.com/profile_images/1270388253921808386/skO_cvyB_normal.jpg
x487818280,x1286722866231357442,7/24/20 18:00,barbara_render,Boston Red Sox Erect 250-Foot 'Black Lives Matter' Billboard Near Fenway Park Os play 2nite https://t.co/nfmfD7kpEu,115,16,Twitter Web App,,,,,FALSE,FALSE,0,0,0,0,,,people.com/sports/boston-…,https://t.co/nfmfD7kpEu,https://people.com/sports/boston-red-sox-erect-250-foot-black-lives-matter-billboard-near-fenway-park/?utm_source=twitter.com&utm_medium=social&utm_campaign=social-share-article,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/barbara_render/status/1286722866231357442,Barbara Render,"New York, NY",,,FALSE,16,15,0,2208,2742,2/9/12 19:37,FALSE,,,,,http://abs.twimg.com/images/themes/theme1/bg.png,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
x984607301624582144,x1286722866789195780,7/24/20 18:00,websfavourites,Seattle Children’s Museum Lays Off Staff Amid Conflict Over Black Lives Matter Posts https://t.co/WC7l9Atw1n,111,13,WordPress.com,,,,,FALSE,FALSE,0,0,0,0,,,websfavourites.com/featured/seatt…,https://t.co/WC7l9Atw1n,https://websfavourites.com/featured/seattle-childrens-museum-lays-off-staff-amid-conflict-over-black-lives-matter-posts/,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/websfavourites/status/1286722866789195780,WebsFavorites.Com - All your Favorite News Here!,"Lagos, Nigeria","https://t.co/RW9bYXssQe brings to you and helps you save all your Favorite News & Articles on the World Wide Web.
World News, Sports, Fashion, Entertainment etc",https://websfavourites.com,FALSE,102,80,3,201389,1,4/13/18 1:40,FALSE,,,,https://pbs.twimg.com/profile_banners/984607301624582144/1547108510,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1083277624904945666/OS9EIv9U_normal.jpg
x235860478,x1286722866910654464,7/24/20 18:00,brettt0mlin,I am soo close to achieving my goal!!! IM CRYINGGG! Please retweet + boost 🥺 I APPRECIATE IT SOO MUCH #blacktrans #BlackLivesMatter #fund https://t.co/eG4L8xmWsd,164,24,Twitter for iPhone,,,,,FALSE,TRUE,0,0,0,0,blacktrans,,,,,,,,,,,,,x775785016706170880,niajorii,en,,,,,,,,,,,,,,,,x1285249404824367104,I am soo close to achieving my goal!!! IM CRYINGGG! Please retweet + boost 🥺 I APPRECIATE IT SOO MUCH #blacktrans #BlackLivesMatter #fund https://t.co/eG4L8xmWsd,7/20/20 16:25,Twitter for iPhone,1097,1694,x775785016706170880,niajorii,✨,487,485,21113,,,FALSE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/brettt0mlin/status/1286722866910654464,brett tomlin 🥺,"Northridge, Los Angeles","remember your importance in this world, you matter. hi, my name is brett and my pronouns are he/him. check out my YouTube videos below.1/3/17💉 LGB(T)",https://www.youtube.com/channel/UCQ-4Zly0IZtv1_-EnGkzzpw,FALSE,10625,1249,35,20188,30394,1/9/11 7:05,FALSE,,,,https://pbs.twimg.com/profile_banners/235860478/1548063084,http://abs.twimg.com/images/themes/theme14/bg.gif,http://pbs.twimg.com/profile_images/1283599071962255361/Q6DTeFfm_normal.jpg
