"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x2511095197","x1289227388484825090",2020-07-31 15:52:16,"will_not_quit","Evidence shows outbreaks are not directly linked to protests.

If that was the case, every major city, including New York, would’ve seen an enormous resurgence. They didn’t. You know why? Because the protestors wore masks and weren’t in a closed space.

Jim Jordan is a fool. https://t.co/jL4Wh9bCkb","Twitter Web App",,,,,TRUE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x3187848737","AhmedBaba_","en","x1289209572746391553","Jim Jordan is out here asking Dr. Fauci a series of gotcha questions about the possibility that #BlackLivesMatter protesters are spreading the coronavirus https://t.co/R4473NA5hX",2020-07-31 14:41:29,"Twitter Web App",703,206,"x288277167","atrupar","Aaron Rupar",446682,999,77206,,"journalist @voxdotcom",TRUE,"x1289215795281592320","Evidence shows outbreaks are not directly linked to protests.

If that was the case, every major city, including New York, would’ve seen an enormous resurgence. They didn’t. You know why? Because the protestors wore masks and weren’t in a closed space.

Jim Jordan is a fool. https://t.co/jL4Wh9bCkb",2020-07-31 15:06:12,"Twitter for iPhone",913,354,"x3187848737","AhmedBaba_","Ahmed Baba",95485,81382,24969,"VA/DC","27 | Co-Founder & President/Editor-in-Chief @RanttMedia | Op-eds @Independent | Documenting Trump’s presidency and yet still sane—https://t.co/XZybXrY4Ao",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/will_not_quit/status/1289227388484825090","Decency Must Prevail"," NC","Sr. Citizen & Christian who supports social justice for all.  My tweets are my own.  #RESIST  #LGBTQ   #Resistance #VoteBlueToSaveAmerica",,FALSE,2077,2022,1,37553,45495,2014-05-20 18:17:35,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/979431386233761794/dIX-1fbz_normal.jpg"
"x1195457802959048706","x1289227391835836416",2020-07-31 15:52:17,"maberryman80","Gym Jordan is an ass.","Twitter for iPad",,,,,TRUE,FALSE,0,0,0,0,,,,,,,,,,,,,,,,"en","x1289209572746391553","Jim Jordan is out here asking Dr. Fauci a series of gotcha questions about the possibility that #BlackLivesMatter protesters are spreading the coronavirus https://t.co/R4473NA5hX",2020-07-31 14:41:29,"Twitter Web App",703,206,"x288277167","atrupar","Aaron Rupar",446675,999,77206,,"journalist @voxdotcom",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/maberryman80/status/1289227391835836416","Mary Ann Berryman",,".. Never Trumper. Resister. RidinWithBiden.",,FALSE,35,187,0,638,627,2019-11-15 21:47:05,FALSE,,,,"https://pbs.twimg.com/profile_banners/1195457802959048706/1583370083","","http://pbs.twimg.com/profile_images/1279131236594786306/J45xyUdd_normal.jpg"
"x1343632100","x1289227393014444032",2020-07-31 15:52:17,"40YearsDown","The massive and non-violent protests led by Black Lives Matter activists have inspired the nation. Let’s get to work and make this vision a reality.","Twitter Web App",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x3023272478","OregonGovBrown","en",,,,,,,,,,,,,,,,"x1288887418980950021","The massive and non-violent protests led by Black Lives Matter activists have inspired the nation. Let’s get to work and make this vision a reality.",2020-07-30 17:21:21,"Twitter Web App",1790,261,"x3023272478","OregonGovBrown","Governor Kate Brown",207574,166,5447,"Salem, Oregon","Oregon's 38th Governor. Always fighting for better jobs & schools. Fierce feminist. Working to strengthen & expand voter access.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/40YearsDown/status/1289227393014444032","Bill Gilliland","Orange County, CA","Business background w/BS in Finance from the Univ. of Illinois. Proud Liberal. Lifelong Cub fan. #Progressive #Liberal #Warren   #TheResistance OC, CA",,FALSE,5376,5401,61,28902,20166,2013-04-11 05:55:00,FALSE,,,,"https://pbs.twimg.com/profile_banners/1343632100/1453343759","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/3505280266/5077ad119574487d9ea50eaaa5530a78_normal.jpeg"
"x1236378443211837441","x1289227393396117507",2020-07-31 15:52:17,"papas_red","#blacklivesmatter víctimas de la violencia policial si es en USA, si es en España, se le llama ""Tarajal""","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,"blacklivesmatter",,,,,,,,,,,,,"x1050691777647321088","Nomenklatura_ou","es",,,,,,,,,,,,,,,,"x1289195293485887488","#blacklivesmatter víctimas de la violencia policial si es en USA, si es en España, se le llama ""Tarajal""",2020-07-31 13:44:44,"Twitter for Android",4,2,"x1050691777647321088","Nomenklatura_ou","Nomenklatura 🇦🇷",1422,4102,22459,,"El liberalismo es el camino hacia el fascismo. Nazi muerto, abono para el huerto. Internacionalista. Estado, obrero y fraternidad.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/papas_red/status/1289227393396117507","Red Papas",,"Vuelta numero vete tu a saber cual de Iosif Pikachurrs
No pongo nada mas porque probablemente mañana ya me la hayan chapado",,FALSE,156,270,4,10694,18676,2020-03-07 19:49:35,FALSE,,,,"https://pbs.twimg.com/profile_banners/1236378443211837441/1583610742","","http://pbs.twimg.com/profile_images/1269227644635267075/qLtRnKAl_normal.jpg"
"x773965013245685761","x1289227394566373383",2020-07-31 15:52:18,"Ketan_Patel2020","मैं : हर धर्म में कुछ कमियाँ है।

उदित राज जी : नहीं ग़लत ..एक Christian कभी दूसरे Christian से नफ़रत नहीं करता ..ये केवल भारत जैसे देश में होता है।
भारत “Republic of जाति” है।

मेरा उत्तर: ये America में George Floyd को रमेश अग्रवाल ने मारा था ..हम्म??

सब चुप।। https://t.co/9XWLijGywE","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x1368737382","sambitswaraj","hi",,,,,,,,,,,,,,,,"x1289227221165420544","मैं : हर धर्म में कुछ कमियाँ है।

उदित राज जी : नहीं ग़लत ..एक Christian कभी दूसरे Christian से नफ़रत नहीं करता ..ये केवल भारत जैसे देश में होता है।
भारत “Republic of जाति” है।

मेरा उत्तर: ये America में George Floyd को रमेश अग्रवाल ने मारा था ..हम्म??

सब चुप।। https://t.co/9XWLijGywE",2020-07-31 15:51:36,"Twitter for iPhone",46,14,"x1368737382","sambitswaraj","Sambit Patra",4496973,530,48037,"Delhi","Surgeon by Profession,Politician by Passion...National Spokesperson of BJP",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ketan_Patel2020/status/1289227394566373383","Corona Warrior Ketan Patel 🇮🇳","Ahmadabad City, Gujarat, India","Proud Hindu. Work in Indian Politics and Yuva Morcha in BJP since 2012. Public Speaking and Relationship, Youth improvement and Women Empowerments at Gujarat.",,FALSE,819,545,3,137849,142939,2016-09-08 19:23:33,FALSE,,,,"https://pbs.twimg.com/profile_banners/773965013245685761/1591118312","","http://pbs.twimg.com/profile_images/1274612723481866245/oe8lbISY_normal.jpg"
"x305264846","x1289227395552043020",2020-07-31 15:52:18,"HuntWMD","Open Letter to My Father: Why I Support Black Lives Matter https://t.co/pk3sBb4nLO","Twitter Web App",,,,,FALSE,TRUE,0,0,0,0,,,"watchingthewheelsdad.net/2020/07/31/ope…","https://t.co/pk3sBb4nLO","http://watchingthewheelsdad.net/2020/07/31/open-letter-to-my-father-why-i-support-black-lives-matter/",,,,,,,,,"x350028345","rblazak","en",,,,,,,,,,,,,,,,"x1289224615265361921","Open Letter to My Father: Why I Support Black Lives Matter https://t.co/pk3sBb4nLO",2020-07-31 15:41:15,"WordPress.com",0,1,"x350028345","rblazak","Randall Blazak, PhD.",1817,1147,24363,"Portland, Oregon, USA","Sociology professor, hate crime researcher, criminologist, anti-bias trainer, novelist, Emory alumnus, dad, blogging in the wind. Tweeting for myself. He/Him",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/HuntWMD/status/1289227395552043020","God Awful Adam Hunt","Pacific North Wet","A ""Who-is-Who of Russiangaters, Anti-Russian PR Trolls, Atlantic Counsil, #IntegrityInitiative ... Browder ..."" 😜",,FALSE,724,2873,59,30471,15963,2011-05-25 22:40:59,FALSE,,,,"https://pbs.twimg.com/profile_banners/305264846/1485116953","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/1186672058509357056/LWgpmNGg_normal.jpg"
"x1240194863242625027","x1289227398983163904",2020-07-31 15:52:19,"dystopiangguk","And when I push you off a building and record it to playback the sound of your bones cracking😻😻&gt;&gt;","Twitter for Android",,,,,TRUE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x1283049437493895169","Ilhamreup","en","x1289226557337133057","@Ilhamreup @HOPE1VERSE Worry about black lives matter and leave me alone b*tch",2020-07-31 15:48:58,"Twitter for iPhone",0,0,"x1080865656084615169","halffqg","S",58,953,494,,"He/him, K-pop fan",FALSE,"x1289227157030412288","And when I push you off a building and record it to playback the sound of your bones cracking😻😻&gt;&gt;",2020-07-31 15:51:21,"Twitter for iPhone",1,1,"x1283049437493895169","Ilhamreup","limit💔 ⁷",668,786,8384,"Black/s/t","armybarboncemoa event only, no cupcakes or annoying multis purr",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/dystopiangguk/status/1289227398983163904","Mal⁷𖧵⁹ 🤍𝚇_𝚇🖤","#BLM | Black | She/Her | Minor","𝐕𝖎𝖑𝖑𝖆𝖎𝖓, 𝐖𝐡𝐚𝐭 𝐲𝐨𝐮 𝐰𝐚𝐢𝐭𝐢𝐧𝐠 𝐟𝐨𝐫.

.ia. might leave around september","http://xn--maram-qf6b.com",FALSE,3865,988,27,39824,48230,2020-03-18 08:34:58,FALSE,,,,"https://pbs.twimg.com/profile_banners/1240194863242625027/1596179449","","http://pbs.twimg.com/profile_images/1289096160859377664/0UjojzHK_normal.jpg"
"x1270212110929158153","x1289227399008149504",2020-07-31 15:52:19,"boston_jms","Nothing drives a trust-fund racist crazier than a self-made black man exposing their moral bankruptcy with a grace and intelligence that they will never possess.","Twitter for Android",,,,,TRUE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x892219807","BradleyWhitford","en","x1288993909654335488","Tucker Carlson: ""Barack Obama one of the sleaziest and most dishonest figures in the history of American politics use of George Floyd's death at a funeral to attack the police."" https://t.co/UXNI84GSKP",2020-07-31 00:24:31,"Twitter Web App",724,197,"x551349832","NikkiMcR","nikki mccann ramírez",13844,1919,22927,"Washington, DC","mexicana online • misinfo research • MMFA • views are mine but you can borrow them 👀",FALSE,"x1289195588781658112","Nothing drives a trust-fund racist crazier than a self-made black man exposing their moral bankruptcy with a grace and intelligence that they will never possess.",2020-07-31 13:45:55,"Twitter for iPhone",6997,1111,"x892219807","BradleyWhitford","Bradley Whitford",344419,1463,86996,,,TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/boston_jms/status/1289227399008149504","JmsBoston","Boston, MA & California ","Proud LGBTQ, Boston Sports Fan, Gaming, Travel, Food, Politics and Animal Rights.",,FALSE,178,143,0,14347,34593,2020-06-09 04:32:30,FALSE,,,,"https://pbs.twimg.com/profile_banners/1270212110929158153/1592591224","","http://pbs.twimg.com/profile_images/1270772707605377024/INAPgSm8_normal.jpg"
"x237824343","x1289227400014753792",2020-07-31 15:52:19,"1AyeYB","The US fixing racism by painting black lives matter on the street","Twitter for iPhone",,,,,TRUE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x334330329","shepxart","en","x1253794371398332417","Bomboclaat https://t.co/EcC3ofVKx2",2020-04-24 21:14:07,"Twitter for iPhone",8025,1909,"x1099061043244937216","captionation1","BOMBOCLAATER",89264,3,551,"🌎","📥 Need collaboration ? Just DM me | Active notifications 😍| 👻: worldofbom30 | #BLACKLIVESMATTER",FALSE,"x1288306758553948160","The US fixing racism by painting black lives matter on the street",2020-07-29 02:54:01,"Twitter for iPhone",83463,26999,"x334330329","shepxart","SHEP",707,705,10641,"nomad","Artist. Army Vet.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/1AyeYB/status/1289227400014753792","Aye Yb lets pipe em up bro🏁","Virginia, USA","Music Producer 🧟‍♂️| 4 baby","https://lnk.to/nawsty",FALSE,761,506,1,9917,24396,2011-01-13 18:31:38,FALSE,,,,"https://pbs.twimg.com/profile_banners/237824343/1586907670","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1284988534919700480/jY2UIy0C_normal.jpg"
"x200967107","x1289227400857886721",2020-07-31 15:52:19,"SJVatsal","मैं : हर धर्म में कुछ कमियाँ है।

उदित राज जी : नहीं ग़लत ..एक Christian कभी दूसरे Christian से नफ़रत नहीं करता ..ये केवल भारत जैसे देश में होता है।
भारत “Republic of जाति” है।

मेरा उत्तर: ये America में George Floyd को रमेश अग्रवाल ने मारा था ..हम्म??

सब चुप।। https://t.co/9XWLijGywE","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x1368737382","sambitswaraj","hi",,,,,,,,,,,,,,,,"x1289227221165420544","मैं : हर धर्म में कुछ कमियाँ है।

उदित राज जी : नहीं ग़लत ..एक Christian कभी दूसरे Christian से नफ़रत नहीं करता ..ये केवल भारत जैसे देश में होता है।
भारत “Republic of जाति” है।

मेरा उत्तर: ये America में George Floyd को रमेश अग्रवाल ने मारा था ..हम्म??

सब चुप।। https://t.co/9XWLijGywE",2020-07-31 15:51:36,"Twitter for iPhone",47,15,"x1368737382","sambitswaraj","Sambit Patra",4496973,530,48037,"Delhi","Surgeon by Profession,Politician by Passion...National Spokesperson of BJP",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SJVatsal/status/1289227400857886721","Dr. Shuchita Vatsal","India","SrConsultant,Astrologer,VastuExpert, Cartoonist,MotivationalSpeaker, NationalSpokesperson, NationalGeneralSecretary(BVM)
Website:http://shuchinishthha.webs.com","http://drshuchitavatsalclinic.webs.com",FALSE,3492,1005,236,159967,65232,2010-10-10 19:08:54,FALSE,,,,"https://pbs.twimg.com/profile_banners/200967107/1501234625","http://abs.twimg.com/images/themes/theme3/bg.gif","http://pbs.twimg.com/profile_images/890867770669154304/sjt2DDw6_normal.jpg"
