"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x3727769362","x1289227185820114945",2020-07-31 15:51:28,"lynne_burrows","'2.4 billion people live within 60 miles of oceans.'https://t.co/pE9qyK2zzC","Twitter Web App",,,,,FALSE,TRUE,0,0,0,0,,,"vox.com/2020/7/14/2132…","https://t.co/pE9qyK2zzC","https://www.vox.com/2020/7/14/21324197/antarctica-glacier-thwaites-climate-change",,,,,,,,,"x956250134786002944","ClimateBen","en",,,,,,,,,,,,,,,,"x1289225095286677511","'2.4 billion people live within 60 miles of oceans.'https://t.co/pE9qyK2zzC",2020-07-31 15:43:10,"Twitter Web App",20,11,"x956250134786002944","ClimateBen","Ben See",48583,41708,31497,"Paris, France","Ben See. Literature Teacher informing pupils of the scientific reality of the Ecological Catastrophe & urging action. See also @urgenceclimatiq & @ClimateHound",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lynne_burrows/status/1289227185820114945","Lin Burrows #FreeAssange#Free Palestine","UK","Gender critical adult human female. Ex Labour but still a socialist.  Our government is rotten to the core, aided and abetted by MSM.",,FALSE,981,1224,4,35929,30191,2015-09-21 11:28:14,FALSE,,,,"https://pbs.twimg.com/profile_banners/3727769362/1546080042","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1140182210064134144/aiFRT7zn_normal.jpg"
"x946226218432544768","x1289227193713795073",2020-07-31 15:51:30,"jwcampbell1955","ANOTHER TRUDEAU SCANDAL....FOLLOW THE MONEY...
https://t.co/fPKf8tXrFR","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,,,"torontosun.com/news/national/…","https://t.co/fPKf8tXrFR","http://torontosun.com/news/national/feds-paid-10m-for-climate-change-studies-that-were-never-written",,,,,,,,,"x794548575673978880","WakeUpCanada1","en",,,,,,,,,,,,,,,,"x1288959657570996224","ANOTHER TRUDEAU SCANDAL....FOLLOW THE MONEY...
https://t.co/fPKf8tXrFR",2020-07-30 22:08:24,"Twitter for Android",72,67,"x794548575673978880","WakeUpCanada1","WakeUpCanada... Canada Needs A Trump",9748,6476,300422,,"Canadian News..American News..#MAGA.. BreakinNewz..World News..RT's are not necessarily our opinion..  #WakeUpCanada
#TrudeauMustGo
#WakeUpAmerica",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jwcampbell1955/status/1289227193713795073","JCam","Comox Valley, British Columbia","Proud Canadian who loves his wife and family and friends our neighbours to the south , loves traveling the USA , make America great again Mr Trump.",,FALSE,164,506,0,6938,593,2017-12-28 03:48:05,FALSE,,,,"https://pbs.twimg.com/profile_banners/946226218432544768/1514573234","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/946815453753520128/h8SVN5Gx_normal.jpg"
"x1231323020519669760","x1289227200361725952",2020-07-31 15:51:31,"Kwhatsgoingon1","#cdnpoli","Twitter for Android",,,,,TRUE,FALSE,0,0,0,0,"cdnpoli",,,,,,,,,,,,,,,"und","x1289041889358995456","Perhaps we need an education to understand this kind of business, because it sure boggles our minds on how a Gov't can pay $10 MILLION for work that was never done!!!

What a strange world we live in under Trudeau!

But, is this how 💰 laundering is done?
https://t.co/rSWaFkLB1Q",2020-07-31 03:35:10,"Twitter for Android",211,145,"x423610335","LeonardRoxon","Leonard Roxon",10268,39,13429,,,FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Kwhatsgoingon1/status/1289227200361725952","whats_going_on ⚜ 🇨🇦🌻","Canada","Outsider.

Monde étrange...

blocked by 3 mps: @CharlieAngusNDP , @LeahGazan & @cathmckenna Cheers 🥂",,FALSE,161,258,3,5250,18228,2020-02-22 21:01:18,FALSE,,,,"https://pbs.twimg.com/profile_banners/1231323020519669760/1595118494","","http://pbs.twimg.com/profile_images/1284646192513798144/kjMq6bDT_normal.jpg"
"x1229140730058280962","x1289227201431273472",2020-07-31 15:51:32,"Terry58054087","Was Al Gore worried about the ""Global Warming"" he was causing when he flew to Epstein's creep Island with underaged girls - as the newly released documents show?","Twitter for iPhone",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x1043185714437992449","catturd2","en",,,,,,,,,,,,,,,,"x1289164028573560833","Was Al Gore worried about the ""Global Warming"" he was causing when he flew to Epstein's creep Island with underaged girls - as the newly released documents show?",2020-07-31 11:40:30,"Twitter Web App",9697,3960,"x1043185714437992449","catturd2","Catturd ™",264390,15967,37931,,"The MAGA turd who talks shit.

My parody book- The Adventures of Cowfart, literally - and my Sci-Fi novel - Rabbitskin - are available at https://t.co/5JZfYtsuVW",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Terry58054087/status/1289227201431273472","Terry",,,,FALSE,100,238,0,11446,15908,2020-02-16 20:29:35,FALSE,,,,,"","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x1181254518379618305","x1289227205164191744",2020-07-31 15:51:33,"FoodForTruth1","Feds paid $10M for climate change studies that were never written https://t.co/NsEANxCGwm https://t.co/AiJQIyBDe4","Twitter Web App",,,,,FALSE,TRUE,0,0,0,0,,,"bit.ly/2CVMefz","https://t.co/NsEANxCGwm","https://bit.ly/2CVMefz","http://pbs.twimg.com/media/EeMzHF-WsAAjY_4.jpg","https://t.co/AiJQIyBDe4","https://twitter.com/TheTorontoSun/status/1288930118199660545/photo/1","photo","http://pbs.twimg.com/media/EeMzHF-WsAAjY_4.jpg","https://t.co/AiJQIyBDe4","https://twitter.com/TheTorontoSun/status/1288930118199660545/photo/1",,"x24700876","TheTorontoSun","en",,,,,,,,,,,,,,,,"x1288930118199660545","Feds paid $10M for climate change studies that were never written https://t.co/NsEANxCGwm https://t.co/AiJQIyBDe4",2020-07-30 20:11:01,"Echobox",340,290,"x24700876","TheTorontoSun","Toronto Sun",320926,517,207477,"365 Bloor St. E., Toronto, ON","Toronto's best local news, sports, entertainment, comment, pictures and video.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FoodForTruth1/status/1289227205164191744","Food For Thought","Ohio The 17th State","People around the world are waking up and fighting back against tyranny and corruption.

WWG1WGA

Update. I block stupid",,FALSE,3706,4847,1,81493,65202,2019-10-07 17:07:40,FALSE,,,,"https://pbs.twimg.com/profile_banners/1181254518379618305/1595253210","","http://pbs.twimg.com/profile_images/1201265299053514752/XaqgYxbV_normal.jpg"
"x177415523","x1289227205470572545",2020-07-31 15:51:33,"jthurm2","Was Al Gore worried about the ""Global Warming"" he was causing when he flew to Epstein's creep Island with underaged girls - as the newly released documents show?","Twitter Web App",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x1043185714437992449","catturd2","en",,,,,,,,,,,,,,,,"x1289164028573560833","Was Al Gore worried about the ""Global Warming"" he was causing when he flew to Epstein's creep Island with underaged girls - as the newly released documents show?",2020-07-31 11:40:30,"Twitter Web App",9693,3961,"x1043185714437992449","catturd2","Catturd ™",264388,15968,37931,,"The MAGA turd who talks shit.

My parody book- The Adventures of Cowfart, literally - and my Sci-Fi novel - Rabbitskin - are available at https://t.co/5JZfYtsuVW",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jthurm2/status/1289227205470572545","James thurman",,,,FALSE,119,448,2,12530,8890,2010-08-12 02:19:50,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/564084337025380352/URikBmT__normal.jpeg"
"x14578169","x1289227207508758529",2020-07-31 15:51:33,"kcculver","More flooding in Bangladesh. Climate change is an equity issue. The average American is responsible for 33 times more planet-warming carbon dioxide than the average Bangladeshi. From https://t.co/esqc9gfxne","Twitter Web App",,,,,FALSE,FALSE,0,0,0,0,,,"twitter.com/i/web/status/1…","https://t.co/OwyjkNeRRC","https://twitter.com/i/web/status/1289227207508758529",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/kcculver/status/1289227207508758529","KC Culver","Los Angeles, CA","Postdoctoral scholar at the Pullias Center for Higher Education. Passionate about improving learning & increasing equity for college students and instructors.","http://www.kcculver.com",FALSE,150,133,5,509,231,2008-04-29 00:50:31,FALSE,,,,"https://pbs.twimg.com/profile_banners/14578169/1569707691","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1178065558132023296/L1IM_gwA_normal.jpg"
"x979383099757858817","x1289227208423161857",2020-07-31 15:51:33,"Smartylull1","school protest for climate week 20
#ClimateStrikeOnline #ClimateEmergency 
protesting on my birthday https://t.co/JaNZvrOtBv","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,"ClimateStrikeOnline ClimateEmergency",,,,,"http://pbs.twimg.com/media/EeQCgD8VAAcyRQj.jpg","https://t.co/JaNZvrOtBv","https://twitter.com/Farah_mkma/status/1289158311569317890/photo/1","photo","http://pbs.twimg.com/media/EeQCgD8VAAcyRQj.jpg http://pbs.twimg.com/media/EeQCgcdU0AEXJ--.jpg","https://t.co/JaNZvrOtBv https://t.co/JaNZvrOtBv","https://twitter.com/Farah_mkma/status/1289158311569317890/photo/1 https://twitter.com/Farah_mkma/status/1289158311569317890/photo/1",,"x1250316420283379713","Farah_mkma","en",,,,,,,,,,,,,,,,"x1289158311569317890","school protest for climate week 20
#ClimateStrikeOnline #ClimateEmergency 
protesting on my birthday https://t.co/JaNZvrOtBv",2020-07-31 11:17:47,"Twitter Web App",780,99,"x1250316420283379713","Farah_mkma","Farah Mk",761,347,522,,"13 | climate advocate | writer | blogger | huge bookworm | youth advocate | proud muslim
🇮🇶🇲🇾🍉
💚🌴🌺🌳🌹🌸🌷🌻🐬🌍",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Smartylull1/status/1289227208423161857","Smartylull",,"Esaïe 11:6-9",,FALSE,216,402,0,12759,4449,2018-03-29 15:41:41,FALSE,,,,"https://pbs.twimg.com/profile_banners/979383099757858817/1542064778","","http://pbs.twimg.com/profile_images/1062121626916085762/50ciVkvX_normal.jpg"
"x767859340858363905","x1289227211539492864",2020-07-31 15:51:34,"Pwhitehvac","Was Al Gore worried about the ""Global Warming"" he was causing when he flew to Epstein's creep Island with underaged girls - as the newly released documents show?","Twitter for iPhone",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x1043185714437992449","catturd2","en",,,,,,,,,,,,,,,,"x1289164028573560833","Was Al Gore worried about the ""Global Warming"" he was causing when he flew to Epstein's creep Island with underaged girls - as the newly released documents show?",2020-07-31 11:40:30,"Twitter Web App",9700,3962,"x1043185714437992449","catturd2","Catturd ™",264390,15967,37931,,"The MAGA turd who talks shit.

My parody book- The Adventures of Cowfart, literally - and my Sci-Fi novel - Rabbitskin - are available at https://t.co/5JZfYtsuVW",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Pwhitehvac/status/1289227211539492864","Pablo Blanco","El Paso, TX","Trump2020 MAGA KAG Fake Covid Apocalypse",,FALSE,46,460,0,3285,4089,2016-08-22 23:01:47,FALSE,,,,"https://pbs.twimg.com/profile_banners/767859340858363905/1584801457","","http://pbs.twimg.com/profile_images/1032629491099742208/lkHhH8XT_normal.jpg"
"x24005777","x1289227217420001281",2020-07-31 15:51:35,"AngieTink","Was Al Gore worried about the ""Global Warming"" he was causing when he flew to Epstein's creep Island with underaged girls - as the newly released documents show?","Twitter Web App",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x1043185714437992449","catturd2","en",,,,,,,,,,,,,,,,"x1289164028573560833","Was Al Gore worried about the ""Global Warming"" he was causing when he flew to Epstein's creep Island with underaged girls - as the newly released documents show?",2020-07-31 11:40:30,"Twitter Web App",9701,3963,"x1043185714437992449","catturd2","Catturd ™",264390,15967,37931,,"The MAGA turd who talks shit.

My parody book- The Adventures of Cowfart, literally - and my Sci-Fi novel - Rabbitskin - are available at https://t.co/5JZfYtsuVW",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AngieTink/status/1289227217420001281","Angie Harris 🇺🇸","Winter Haven Florida","#Twirling Into #July & The Sweet #Summertime Get Some #Sunshine #Pray #Play #Trump2020 Yay! xoxo #Poof 🪄💫😊🙏🇺🇸☀️⛱️❤️🤍💙🎶🎶🎶",,FALSE,2916,5001,111,280220,286481,2009-03-12 18:57:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/24005777/1588618549","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/1257382430073401344/DWkqGUpq_normal.png"
