user_id,status_id,created_at,screen_name,text,character,word_count,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
x1009525165426962434,x1276605734038368258,6/26/20 19:58,RebornUnicorn1,So Mike Pence is just gonna stand up on national TV for the first coronavirus briefing in weeks and lie to the American people that “we have made truly remarkable progress.”,177,31,Twitter for iPhone,,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,x21728303,keithboykin,en,,,,,,,,,,,,,,,,x1276556445908119553,So Mike Pence is just gonna stand up on national TV for the first coronavirus briefing in weeks and lie to the American people that “we have made truly remarkable progress.”,6/26/20 16:42,Twitter for iPhone,3627,997,x21728303,keithboykin,Keith Boykin,231440,1018,47875,New York,@CNN commentator. New York Times bestselling author. Dartmouth. Harvard Law. Columbia IRAAS. Former White House aide. http://keithboykin.com,TRUE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/RebornUnicorn1/status/1276605734038368258,Reborn Unicorn 🦋🦄,Little Blue Speck of Dust,I wake up every single day quoting Dorothy Parker: “What fresh hell is this?” NOTE: I unfollow those who post from trump and gop in likes or direct retweets. 💙,,FALSE,3721,5001,3,88659,103361,6/20/18 19:55,FALSE,,,,https://pbs.twimg.com/profile_banners/1009525165426962434/1591413810,,http://pbs.twimg.com/profile_images/1009533565103566848/5BQgmAqL_normal.jpg
x532349314,x1276605734051090433,6/26/20 19:58,CurtisMcGirt,"Any ""scientist"" or ""expert"" involved in catastrophically wrong initial Coronavirus decisions should be banished from making any of the current Coronavirus decisions.

Its simple.

Why should we let complete and utter failures continue to advise and shape Coronavirus decisions?",277,37,Twitter Web App,,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,x2327400218,C_3C_3,en,,,,,,,,,,,,,,,,x1276580359849852931,"Any ""scientist"" or ""expert"" involved in catastrophically wrong initial Coronavirus decisions should be banished from making any of the current Coronavirus decisions.

Its simple.

Why should we let complete and utter failures continue to advise and shape Coronavirus decisions?",6/26/20 18:17,Twitter Web App,125,86,x2327400218,C_3C_3,C3,78019,15007,43517,,Turds will get instablocked (exception Catturd),FALSE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/CurtisMcGirt/status/1276605734051090433,Curtis McGirt,North Carolina,"Retired; political junkie, restores old photos, aspiring curmudgeon, amateur historian. #MAGA",,FALSE,6610,6771,2,26211,31026,3/21/12 16:17,FALSE,,,,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1142170041552646145/oyQmjSG__normal.jpg
x561187055,x1276605734126604288,6/26/20 19:58,RichieYoun,honestly andrew cuomo can shut right the fuck up about containing this disease anytime he wants https://t.co/zbvvokOs4b https://t.co/fIYMomSHvg,143,18,Twitter for Android,,,,,FALSE,TRUE,0,0,0,0,,,nytimes.com/2020/05/07/us/…,https://t.co/zbvvokOs4b,https://www.nytimes.com/2020/05/07/us/new-york-city-coronavirus-outbreak.html,,,,,,,,,x70424767,SonnyBunch,en,,,,,,,,,,,,,,,,x1276528977071538177,honestly andrew cuomo can shut right the fuck up about containing this disease anytime he wants https://t.co/zbvvokOs4b https://t.co/fIYMomSHvg,6/26/20 14:53,TweetDeck,616,153,x70424767,SonnyBunch,Sonny Bunch,64582,897,44934,"Dallas, TX","Contributor to the Washington Post. Cohost, @SubBeacon podcast. Once (and future?) host of Across the Movie Aisle.",TRUE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/RichieYoun/status/1276605734126604288,Richard  Young,"Guatemala City, Guatemala","gritty, witty and full of shitty",,FALSE,239,378,1,10909,350,4/23/12 14:39,FALSE,,,,https://pbs.twimg.com/profile_banners/561187055/1393212514,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1275633672608243719/PxWYu_sn_normal.jpg
x872709084,x1276605733988155392,6/26/20 19:58,four_leafed,"So, the state that is surging in cases will be defunded? His whole, ""there will be less cases if we do less testing"" bs is actually getting implemented. God help us. https://t.co/qlUTzMlnuB",189,32,Twitter Web App,,,,,TRUE,TRUE,0,0,0,0,,,,,,,,,,,,,,x256711838,mariayolis,en,x1275795576538480642,NEW: Trump administration ending support for 7 Texas testing sites as coronavirus cases spike https://t.co/nynowClbO7 https://t.co/b7At3DZope,6/24/20 14:19,SocialFlow,296,373,x1917731,thehill,The Hill,3837054,263,746845,"Washington, DC","The Hill is the premier source for policy and political news. Follow for tweets on what's happening in Washington, breaking news and retweets of our reporters.",TRUE,x1275873616379424768,"So, the state that is surging in cases will be defunded? His whole, ""there will be less cases if we do less testing"" bs is actually getting implemented. God help us. https://t.co/qlUTzMlnuB",6/24/20 19:29,Twitter Web App,22800,11866,x256711838,mariayolis,maria yolisma,1236,2430,14121,"Durango, México","somewhere in TX singing to Selena. ΣΛΓ 💜💕Tweets are my own, RTs ≠ Endorsements. Lettering on IG @/mariayolisma",FALSE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/four_leafed/status/1276605733988155392,auntie pha,ntx,"they/them | eat the rich | black trans lives matter | good things come to those who wait, but i ain't in a patient phase",,FALSE,89,136,1,20699,50432,10/11/12 0:18,FALSE,,,,https://pbs.twimg.com/profile_banners/872709084/1547535329,http://abs.twimg.com/images/themes/theme17/bg.gif,http://pbs.twimg.com/profile_images/1269080085891555330/E9Vk81XA_normal.jpg
x1225412195472805888,x1276605734118195200,6/26/20 19:58,FranciesMary,"“This was a crisis waiting to happen,” child care expert Katie Hamm says about the impact of coronavirus on the industry.

“This isn’t a short-term problem, and it needs, it demands a longer term solution.”
https://t.co/6KCTcd1q62",240,34,Twitter for Android,,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,x2836421,MSNBC,en,,,,,,,,,,,,,,,,x1276602653125083136,"“This was a crisis waiting to happen,” child care expert Katie Hamm says about the impact of coronavirus on the industry.

“This isn’t a short-term problem, and it needs, it demands a longer term solution.”
https://t.co/6KCTcd1q62",6/26/20 19:46,SocialFlow,80,26,x2836421,MSNBC,MSNBC,3434491,693,210475,,"The place for in-depth analysis, political commentary and informed perspectives in 2020.",TRUE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/FranciesMary/status/1276605734118195200,Mary Francies,,"mother, grandma, great grandma, college graduate, liberal living in overwhelming conservative state.",,FALSE,387,701,0,41728,28596,2/6/20 13:34,FALSE,,,,,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
x241012328,x1276605734197686273,6/26/20 19:58,so_it_gohs,Can we please have a talk with the photo editors? ENOUGH WITH THE BEACH PICTURES ruining articles.😡 Beaches are one of the least risky environments. Indoor bars and restaurants. House parties. Indoor gatherings where unmasked people talk. Not beaches. https://t.co/3oPKxfgD8b,278,40,Twitter for iPhone,,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,x65375759,zeynep,en,,,,,,,,,,,,,,,,x1276587493316595712,Can we please have a talk with the photo editors? ENOUGH WITH THE BEACH PICTURES ruining articles.😡 Beaches are one of the least risky environments. Indoor bars and restaurants. House parties. Indoor gatherings where unmasked people talk. Not beaches. https://t.co/3oPKxfgD8b,6/26/20 18:45,Twitter Web App,1045,312,x65375759,zeynep,zeynep tufekci,345256,845,93687,floating in a most peculiar way,"Thinking about our tools, ourselves. @UNC prof. Writer at @TheAtlantic @NYTimes. Was @SciAm @Wired. Book:https://t.co/j57eEmRHYw. Also https://t.co/AuuEUHWn84",TRUE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/so_it_gohs/status/1276605734197686273,&rew,NE-MI-EC-CA-CO,"Abbot Elementary Safety Patroller of the Year, 2000 ~ Abbot Elementary Lunch Worker of the Year, 2000 ~ Abbot Elementary Student of the Year Finalist, 2000",,FALSE,118,356,0,8320,8789,1/21/11 7:15,FALSE,,,,https://pbs.twimg.com/profile_banners/241012328/1398449985,http://abs.twimg.com/images/themes/theme18/bg.gif,http://pbs.twimg.com/profile_images/1248305695495032832/QxtFt99J_normal.jpg
x1957016329,x1276605734285959168,6/26/20 19:58,daneulry,Le premier détenu à avoir bénéficié d’une #libération anticipée grâce au #Coronavirus vient d'être condamné pour un coup de couteau https://t.co/uXIl3GFzAF https://t.co/Zz3xXGioww,191,22,Twitter for iPhone,,,,,FALSE,TRUE,0,0,0,0,libération Coronavirus,,,,,,,,,,,,,x92849144,F_Desouche,fr,,,,,,,,,,,,,,,,x1275674954256855040,Le premier détenu à avoir bénéficié d’une #libération anticipée grâce au #Coronavirus vient d'être condamné pour un coup de couteau https://t.co/uXIl3GFzAF https://t.co/Zz3xXGioww,6/24/20 6:19,fdesouche.com,1727,1411,x92849144,F_Desouche,Fdesouche.com est une revue de presse,77403,1,114206,France,La revue de presse de http://Fdesouche.com.   Compte officiel.,FALSE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/daneulry/status/1276605734285959168,Danielle Eنlry,France Paris,Aime la nature l'Histoire de #France et les pèlerinages. Russophile et mélomane. #Patriote Ⓜ️ #Marine2017,,FALSE,983,1499,36,14250,5249,10/12/13 16:16,FALSE,,,,https://pbs.twimg.com/profile_banners/1957016329/1383589935,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/378800000585999724/1451a25841bb85fced87bf9d426d8013_normal.jpeg
x508088582,x1276605734478704640,6/26/20 19:58,daisye_ramos,#BREAKING Gov. Newsom instructs 1 CA county to shut back down amid spiking COVID-19 cases  https://t.co/sxi8I7oPK6,114,16,Twitter for iPhone,,,,,FALSE,TRUE,0,0,0,0,BREAKING,,abc7.la/2BbL9Py,https://t.co/sxi8I7oPK6,http://abc7.la/2BbL9Py,,,,,,,,,x16374678,ABC7,en,,,,,,,,,,,,,,,,x1276602681403023362,#BREAKING Gov. Newsom instructs 1 CA county to shut back down amid spiking COVID-19 cases  https://t.co/sxi8I7oPK6,6/26/20 19:46,SocialNewsDesk,132,66,x16374678,ABC7,ABC7 Eyewitness News,1134975,465,220514,,"Your #1 breaking news source in Southern California. When you witness news, share it with #abc7eyewitness.",TRUE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/daisye_ramos/status/1276605734478704640,Daisy Ramos,,Lovely LA.,https://www.change.org/,FALSE,366,193,3,39722,41559,2/28/12 23:40,FALSE,,,,https://pbs.twimg.com/profile_banners/508088582/1563770747,http://abs.twimg.com/images/themes/theme2/bg.gif,http://pbs.twimg.com/profile_images/1261316932407406592/rmdXg5SA_normal.jpg
x2437579938,x1276605734478852102,6/26/20 19:58,Ary_AntiPT,"Today we announced further details about how the #COVID19 ACT Accelerator is working to ensure equitable access to diagnostics, therapeutics, and vaccines: https://t.co/XZzogRj0FT https://t.co/9Ta5SbmJPx",203,24,Twitter for Android,,,,,FALSE,TRUE,0,0,0,0,COVID19,,,,,,,,,,,,,x189868631,DrTedros,en,,,,,,,,,,,,,,,,x1276596917368238081,"Today we announced further details about how the #COVID19 ACT Accelerator is working to ensure equitable access to diagnostics, therapeutics, and vaccines: https://t.co/XZzogRj0FT https://t.co/9Ta5SbmJPx",6/26/20 19:23,Twitter for iPhone,214,73,x189868631,DrTedros,Tedros Adhanom Ghebreyesus,1212158,906,23856,"Geneva, Switzerland",Director-General of the World Health Organization,TRUE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/Ary_AntiPT/status/1276605734478852102,Ary ANTI PT #AntiIdeologiasDaMorte,Brasil,Anti-Comunista Anti-Nazista Anti-Fascista e Anti todas as ideologias que matam @arykara (A. C. N.),https://gab.ai/Ary_AntiPT,FALSE,35519,21385,161,789202,239741,4/10/14 22:30,FALSE,,,,https://pbs.twimg.com/profile_banners/2437579938/1589123779,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1259868172351660032/KDELXG56_normal.jpg
x2437579938,x1276605763356680194,6/26/20 19:58,Ary_AntiPT,"Vaccines, diagnostics and therapeutics are vital tools – but to be truly effective against #COVID19, they must be administered with another essential ingredient, which is solidarity!

https://t.co/LVUCl9qaZz",209,26,Twitter for Android,,,,,TRUE,TRUE,0,0,0,0,COVID19,,,,,,,,,,,,,x189868631,DrTedros,en,x1276507733982949377,"The Access to #COVID19 Tools Accelerator (ACT-Accelerator) is led by the work of partner organizations collaborating under 🔢 pillars:

1⃣ diagnostics
2⃣ therapeutics
3⃣ vaccines
4⃣ strengthening health systems

https://t.co/xlDaPmkJnP https://t.co/PV3mUPxKTX",6/26/20 13:28,Twitter for iPhone,44,21,x14499829,WHO,World Health Organization (WHO),7988565,1724,52827,"Geneva, Switzerland","We are the #UnitedNations’ health agency. We are committed to achieving better health for everyone, everywhere - #HealthForAll",TRUE,x1276599292883501058,"Vaccines, diagnostics and therapeutics are vital tools – but to be truly effective against #COVID19, they must be administered with another essential ingredient, which is solidarity!

https://t.co/LVUCl9qaZz",6/26/20 19:32,Twitter for iPhone,52,23,x189868631,DrTedros,Tedros Adhanom Ghebreyesus,1212158,906,23856,"Geneva, Switzerland",Director-General of the World Health Organization,TRUE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/Ary_AntiPT/status/1276605763356680194,Ary ANTI PT #AntiIdeologiasDaMorte,Brasil,Anti-Comunista Anti-Nazista Anti-Fascista e Anti todas as ideologias que matam @arykara (A. C. N.),https://gab.ai/Ary_AntiPT,FALSE,35519,21385,161,789202,239741,4/10/14 22:30,FALSE,,,,https://pbs.twimg.com/profile_banners/2437579938/1589123779,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1259868172351660032/KDELXG56_normal.jpg
